profile_idx,age,region,risk_score
0,55,2,0.9258693448167037
1,41,1,0.06004860412252666
2,45,1,0.718185257872077
3,80,3,0.5386998360795929
4,71,1,0.9163497293891496
5,30,4,0.4365209757061609
6,67,2,0.6132452258279074
7,76,3,0.6201178465663858
8,70,2,0.4418980874452171
9,56,3,0.9178637888673249
10,33,0,0.08964367856813049
11,52,3,0.4596973534599552
12,54,3,0.5393930323190728
13,52,2,0.9541747712134856
14,70,1,0.6470145516480673
15,74,2,0.11101076432367118
16,49,0,0.8171894879999861
17,67,2,0.6788949463840296
18,29,2,0.8497972034852824
19,21,4,0.43051995599171333
20,44,0,0.8309031123696219
21,66,2,0.5566553089126894
22,55,2,0.036868664791387395
23,72,2,0.09589751184105655
24,76,0,0.8274522185732499
25,54,0,0.721513395306488
26,20,2,0.5027149062321431
27,67,2,0.16721325373661844
28,53,0,0.6379012568018522
29,50,0,0.06503573852924083
30,47,0,0.6034537067821504
31,24,4,0.5406525671032739
32,78,0,0.5804807375713635
33,37,2,0.687581263058546
34,69,0,0.6739803797309069
35,46,4,0.21804520198335797
36,73,4,0.6040982523792029
37,64,4,0.20785726951732264
38,41,1,0.8723696956165391
39,74,4,0.5885166499926148
40,51,3,0.5695753380661013
41,33,2,0.30740449381128343
42,59,2,0.5173192104619053
43,69,2,0.010487297297775977
44,46,4,0.9903177637553396
45,50,3,0.18363473418758758
46,30,4,0.2504868405534192
47,47,0,0.18445989350867598
48,35,3,0.8700252813633418
49,36,4,0.8045899387965214
50,47,1,0.5536788441921541
51,72,3,0.055527048552285296
52,61,0,0.7140232308618213
53,50,1,0.0927035400392382
54,64,2,0.09143781069235402
55,33,3,0.08422809123763564
56,35,4,0.8226850482684778
57,41,1,0.15336954579236128
58,33,3,0.23480953845509944
59,54,4,0.752654408523514
60,67,4,0.38269510181910305
61,76,4,0.9205070958731858
62,45,4,0.2863543448904349
63,29,0,0.09959199412005759
64,41,1,0.6073591410320818
65,70,1,0.4751755672760961
66,47,4,0.5855695026558767
67,76,2,0.09487507850767163
68,68,3,0.4263976618640587
69,41,0,0.6079729851022926
70,53,3,0.9350195669069647
71,50,0,0.13627854983791743
72,26,1,0.16340529416742744
73,35,0,0.08152481723018468
74,32,2,0.5015981818087427
75,52,0,0.19819530420441633
76,76,0,0.49476079472691037
77,19,2,0.6808529073147706
78,80,3,0.9000334940077377
79,42,1,0.14321138600147199
80,29,3,0.9885990824829728
81,33,1,0.6258299353901339
82,48,1,0.34625979908875015
83,31,2,0.16443560511837718
84,32,1,0.6158232014585079
85,36,3,0.6831094491346867
86,80,4,0.5115575407572709
87,51,3,0.2437321515481513
88,78,0,0.6180004823335267
89,50,0,0.12912279203861698
90,26,0,0.3977145333940145
91,60,0,0.9513367811561274
92,80,2,0.597619983336148
93,78,4,0.767987814849443
94,63,4,0.48278672431796654
95,40,4,0.9689972315847292
96,44,3,0.9578271362147224
97,78,3,0.13745245154782415
98,31,4,0.9297131683834746
99,62,3,0.30216722010976416
100,32,1,0.5039544027702544
101,66,1,0.26866745682328375
102,36,4,0.6911642619354047
103,64,0,0.36032718768231575
104,21,2,0.7243786972467492
105,67,1,0.7831476681390325
106,25,0,0.6568065958589318
107,71,1,0.4918107637993364
108,32,1,0.7185089943890436
109,29,0,0.19969132901307451
110,37,0,0.8956032791422616
111,78,2,0.2005662871744054
112,68,3,0.3252303180971149
113,69,1,0.8465278820622703
114,30,3,0.02767154487340384
115,35,0,0.8026099859121905
116,80,2,0.8796519574826581
117,75,1,0.28546773198709763
118,49,0,0.26893781113988635
119,73,0,0.7524820181764027
120,28,3,0.08632943270737714
121,78,4,0.45684339888307124
122,61,4,0.23171186366135543
123,51,4,0.6587343329971367
124,32,4,0.7417146232323305
125,40,3,0.1097093273409877
126,49,3,0.20464691061510176
127,77,1,0.5799988385858612
128,67,4,0.966943940572145
129,46,1,0.349842278558974
130,29,0,0.3306999773655944
131,72,3,0.5034878618458649
132,71,3,0.8053436450867806
133,50,3,0.24434577322066897
134,43,2,0.9587933404625688
135,53,2,0.46180327895590023
136,56,2,0.7854634678967458
137,75,0,0.7139375335736514
138,27,1,0.8990826740589284
139,62,2,0.2779336892688148
140,32,1,0.5385604141349053
141,30,0,0.5142902179408148
142,26,3,0.9814188915430422
143,61,2,0.8624548050512165
144,18,4,0.1783948347315032
145,40,4,0.9277164847109708
146,45,1,0.036479447095960404
147,18,2,0.3755262721429182
148,29,4,0.508994721182699
149,21,0,0.6272852216930689
150,79,4,0.8130274720632755
151,35,0,0.14586956777956106
152,58,2,0.72718417325676
153,64,2,0.36084060930966144
154,69,0,0.5732142278367097
155,57,1,0.8678234183950575
156,27,0,0.12140277824086732
157,54,0,0.12005934201794621
158,28,3,0.8453005258329443
159,26,1,0.4344932622245937
160,20,4,0.7167787091714092
161,58,4,0.808456285691556
162,79,4,0.3759810039446493
163,76,3,0.8612378247981418
164,26,4,0.2681508335772448
165,29,1,0.115187451373154
166,34,3,0.135101116444857
167,22,3,0.2477500320959679
168,66,2,0.4800032314252486
169,43,1,0.09461024274757224
170,64,4,0.21570296323763105
171,78,0,0.4360947858326024
172,64,2,0.2687793550814732
173,60,2,0.40567918906918043
174,73,3,0.661082092410362
175,23,1,0.13044406726577473
176,51,2,0.26740059508220826
177,45,1,0.6373148890974767
178,49,2,0.04535465588842125
179,59,0,0.6992559789373505
180,68,4,0.9898261305832012
181,70,0,0.6109584738268683
182,27,2,0.7761511642708963
183,22,3,0.10751337308381381
184,51,3,0.2909898231308323
185,76,1,0.41851057103547296
186,48,1,0.8285317886578393
187,58,1,0.18026680262827166
188,45,2,0.5064747580255134
189,48,0,0.8250715214894416
190,62,0,0.7285800335015669
191,47,0,0.7512267589456766
192,72,4,0.2137880850293129
193,28,2,0.46852363334332314
194,54,2,0.5104118281340293
195,57,3,0.9302188390281033
196,76,3,0.8839823601744133
197,30,2,0.1274934996557059
198,25,1,0.4892548874299123
199,34,2,0.6845377008914738
200,62,3,0.6029884171500612
201,63,2,0.3149687027460144
202,68,0,0.19988600283943725
203,77,3,0.8471488301125133
204,55,2,0.20160513672314895
205,43,3,0.3017069666642328
206,63,2,0.6035894792880068
207,36,2,0.6937775442671811
208,37,4,0.021187442776311682
209,65,1,0.43735159345444496
210,42,2,0.07914418217663999
211,71,4,0.5516444347477444
212,51,4,0.18865368337555188
213,60,4,0.5988614207205692
214,19,1,0.15771579230108423
215,78,4,0.7983571330192103
216,68,4,0.8152851773281958
217,44,4,0.754463185694552
218,43,4,0.2542840512460819
219,56,4,0.007059699672414377
220,70,2,0.1870384938018177
221,65,4,0.5438159150113905
222,33,1,0.5716378403695762
223,68,4,0.6221884237698103
224,23,4,0.06277627852591972
225,55,3,0.431592615070977
226,34,3,0.02370678876813226
227,36,1,0.8563321152778024
228,43,4,0.10838388707318469
229,52,1,0.9217089564453816
230,26,4,0.7502341716709493
231,37,3,0.9068395093579064
232,58,0,0.6510377521087036
233,47,0,0.35374483490141717
234,36,1,0.5273537978471818
235,58,1,0.35121001333845336
236,80,0,0.977449554727829
237,68,2,0.5707109529733764
238,57,3,0.6107535238272134
239,41,1,0.7050801027741458
240,34,2,0.43910113718333144
241,37,0,0.6877389992447333
242,37,2,0.21514003811722027
243,20,3,0.19163010041528505
244,54,0,0.7058442572123533
245,48,4,0.934170515378551
246,33,4,0.26478904158079264
247,19,1,0.5926664565437436
248,20,2,0.970703467206338
249,39,2,0.07697424244277629
250,43,1,0.9048664398878151
251,32,3,0.22942911487534356
252,74,0,0.6434538173711597
253,42,3,0.42070957497926775
254,40,0,0.7373046885598836
255,68,0,0.6464523518922619
256,72,0,0.48148801173697486
257,39,3,0.9034138510015712
258,72,3,0.020091914780782316
259,30,4,0.6201865584115804
260,29,1,0.839816914771179
261,42,3,0.32620803254470954
262,56,0,0.9697580408741506
263,37,1,0.5751778026908387
264,56,2,0.39506055203679047
265,49,0,0.4228707849320579
266,30,3,0.1238734247494756
267,79,4,0.274501327023433
268,28,0,0.3390581997571469
269,55,2,0.6740653918409706
270,41,3,0.9130089520722793
271,25,1,0.8416915389008832
272,35,4,0.688039330802707
273,54,4,0.31462915697163285
274,50,1,0.8645288806694912
275,78,4,0.7467939390576932
276,21,3,0.15798295483304003
277,21,1,0.3190746214212009
278,71,4,0.7140045798936707
279,44,0,0.12361984003993909
280,80,1,0.603493343190451
281,40,4,0.8771814598156943
282,66,1,0.013580214406618052
283,76,3,0.23449864541729148
284,43,2,0.5853743862888847
285,59,1,0.03646195549131237
286,49,4,0.9579638592945691
287,44,3,0.9431614245896874
288,25,2,0.20511850453255587
289,71,3,0.8474089108927753
290,22,1,0.8547723877318635
291,77,0,0.6020635358248552
292,56,4,0.0601121017539773
293,51,0,0.758820125740161
294,40,0,0.5306922205216061
295,67,0,0.4209704591813568
296,34,1,0.9206278442502636
297,19,4,0.3653171953681301
298,69,3,0.6778660607405842
299,64,3,0.41767309040356493
300,20,4,0.8967565440440735
301,45,1,0.8873657904752307
302,76,1,0.1616180819762082
303,44,1,0.4651821939358264
304,18,3,0.4377717978272475
305,64,2,0.7432136470453286
306,32,2,0.20187339159679718
307,60,2,0.4174186081997331
308,37,3,0.440834845570347
309,42,2,0.008869624771368323
310,65,3,0.7246475787516878
311,72,2,0.5162157092625024
312,69,2,0.3781027863285017
313,76,3,0.8625914426553725
314,18,2,0.723388311973771
315,51,1,0.9021987037692271
316,60,3,0.1247788694671581
317,18,2,0.855340698624577
318,34,0,0.5416899281019165
319,67,4,0.7700851931295237
320,59,1,0.3611371106428326
321,66,1,0.07084420605192143
322,80,3,0.22050623770720723
323,42,2,0.8058390743252745
324,79,3,0.7375712472661292
325,67,3,0.7809989892556282
326,71,1,0.2884513480835369
327,65,4,0.8472548859562742
328,19,4,0.3424295502988379
329,40,3,0.5937774336604741
330,58,2,0.7384589097731391
331,73,2,0.9750493751509769
332,55,1,0.1732722663680839
333,62,0,0.2555550191099052
334,20,0,0.7406536999805036
335,80,0,0.3891544463826877
336,67,1,0.9910553370424321
337,45,1,0.2971653717714743
338,68,1,0.6704400252967465
339,59,0,0.2264993865814705
340,80,0,0.22182378212737797
341,49,4,0.6287793595708304
342,43,1,0.14376660294343013
343,79,3,0.5093957944934401
344,72,0,0.8649907359189373
345,40,1,0.1074194841303544
346,30,2,0.4245151192646571
347,76,0,0.45771824478736256
348,26,3,0.09816709921710687
349,51,2,0.16363307071310196
350,28,3,0.6030653207337581
351,50,3,0.28519311373961365
352,70,1,0.08363666997923924
353,26,0,0.8244848284984615
354,57,4,0.2252698728383139
355,67,2,0.17016935354349594
356,31,1,0.32159576224507347
357,68,0,0.30865563062426216
358,32,2,0.4155107489213682
359,79,4,0.6942111945025529
360,49,0,0.9802915549168129
361,65,2,0.39068839095224406
362,74,2,0.6154953857617919
363,66,3,0.6433736737280334
364,46,4,0.2660178100774798
365,64,4,0.3232792209525558
366,41,4,0.624892161958914
367,70,0,0.46509482685255243
368,55,4,0.8987727130154368
369,31,3,0.23991239775081785
370,61,2,0.17767227352312087
371,19,0,0.5598295406940628
372,58,1,0.7624186811437488
373,22,2,0.3938472399470814
374,60,2,0.9880142056047243
375,68,0,0.8550550451769612
376,24,2,0.38906970989469913
377,35,0,0.6130220713398747
378,61,2,0.9153788369864219
379,63,4,0.13089105747890095
380,80,4,0.9154439672602396
381,75,1,0.15153897427602459
382,33,3,0.8134104146691145
383,69,1,0.13073393729598082
384,36,1,0.3899849827565163
385,58,0,0.1420800272898718
386,76,1,0.9135915077679257
387,48,2,0.892849155446275
388,28,2,0.9883283311606748
389,39,2,0.5286211790614035
390,48,4,0.6896964689763732
391,73,1,0.7762411686953425
392,77,4,0.9484437694280363
393,42,3,0.2543464203720177
394,23,2,0.8574147830696306
395,56,4,0.10639522520484757
396,40,0,0.07650993029938902
397,32,2,0.492835453683486
398,48,1,0.7748912699130203
399,20,3,0.27604657953570255
400,76,0,0.5690705099804492
401,78,4,0.4410478792458048
402,26,1,0.2601138708316605
403,53,4,0.6933591259504989
404,36,4,0.5048107492568661
405,70,3,0.40445591547757387
406,71,4,0.6547435425464135
407,79,3,0.38727607939080144
408,66,0,0.42779974426513356
409,79,0,0.3818233142640193
410,48,0,0.5526519318658724
411,58,0,0.5428368400165401
412,76,3,0.6769120605582541
413,28,3,0.09774232452289644
414,27,3,0.22471568865987868
415,24,2,0.44585169524624313
416,68,2,0.13730660369336378
417,45,3,0.19979358291838578
418,23,2,0.7399102264089163
419,21,4,0.14012019868560066
420,56,1,0.784126109958386
421,37,3,0.8347742793628071
422,25,2,0.33511520135082085
423,77,2,0.764672278506871
424,30,2,0.15802605728202435
425,60,4,0.7849171491982664
426,53,0,0.6298770840756999
427,47,1,0.9852395611241241
428,60,2,0.10901910970681794
429,46,4,0.3241374623518213
430,66,4,0.4962738558266634
431,23,2,0.11675963526325872
432,39,4,0.7679677319595256
433,31,0,0.03178291858330551
434,65,1,0.5062815099142397
435,33,4,0.9001317539084128
436,31,2,0.03608603208760408
437,47,1,0.8519566465356763
438,44,1,0.842707334878758
439,39,3,0.023790055052209547
440,51,1,0.6404527738814758
441,24,3,0.022129905729831756
442,21,3,0.3558136513418043
443,74,1,0.9331063330154497
444,61,3,0.07214596594835043
445,28,4,0.8914987909378321
446,38,4,0.9668519248391425
447,79,4,0.033592322336489566
448,73,3,0.7237874308079745
449,72,0,0.7654487480866206
450,75,2,0.5648076717962349
451,33,0,0.5300035893180174
452,29,3,0.5386445694379339
453,51,0,0.3633203471710865
454,60,2,0.19088816407410059
455,69,4,0.5603809058263156
456,29,4,0.3968046961636639
457,71,2,0.20289934002647636
458,40,4,0.43653806204346035
459,76,2,0.6090607147603095
460,26,0,0.9494164624522501
461,41,0,0.7644786519517547
462,48,3,0.6515855551828597
463,20,3,0.1698077235801373
464,77,4,0.5451417100804717
465,40,4,0.6100890126662502
466,53,3,0.12755380076519052
467,60,2,0.33514337258246407
468,62,2,0.5266045301924059
469,73,4,0.28330406208445646
470,38,1,0.5986204742531483
471,43,4,0.6046574764728015
472,22,4,0.9752921730163999
473,51,4,0.8047391982914196
474,50,4,0.7538803374632039
475,21,0,0.2853149531288629
476,45,2,0.9344062074942919
477,50,4,0.7336297457485513
478,34,1,0.08772305346577103
479,18,2,0.9005625401186841
480,40,0,0.2782359691102413
481,46,2,0.06963075627915727
482,54,4,0.07205171631620855
483,27,1,0.03541510684703486
484,42,4,0.22162077002302827
485,70,0,0.42846699176278413
486,39,4,0.25651477643456777
487,27,3,0.34081072184390315
488,72,1,0.6961518205797464
489,30,0,0.8948667462792722
490,58,3,0.8723245129069731
491,62,1,0.09243086889910179
492,46,3,0.7392190952079567
493,35,2,0.14219587840808967
494,72,0,0.7897070317254541
495,19,4,0.15400015944745493
496,55,2,0.7072500715658998
497,28,4,0.8699726983497069
498,76,0,0.14924810469194627
499,29,3,0.5417407180252414
500,25,1,0.6406522455711757
501,49,4,0.46826149291358743
502,40,1,0.6276211126767032
503,37,0,0.41495746286829926
504,24,1,0.19961950530820805
505,58,3,0.4685111428202068
506,71,0,0.7919852253577905
507,51,4,0.004794814223852861
508,43,3,0.6690450058717984
509,41,3,0.34121299429162966
510,58,2,0.24228975000850506
511,45,2,0.009711300478485008
512,34,1,0.31397052380931734
513,72,4,0.4596262208956521
514,67,3,0.3775506527822844
515,60,0,0.4023663845138622
516,42,0,0.8193170527498767
517,48,4,0.588159160019264
518,73,3,0.005889909310489383
519,62,1,0.38785388859318626
520,22,2,0.4123102513217005
521,52,1,0.41297038266534913
522,18,0,0.7203300666554361
523,37,3,0.8155085074286325
524,22,1,0.8081880973506574
525,30,0,0.43636592492498216
526,59,3,0.3113064579426855
527,75,2,0.4185524767639026
528,55,3,0.49698672530010735
529,59,1,0.4351510547978029
530,19,3,0.9140403940626128
531,75,3,0.054564074652186156
532,47,0,0.6919299632328044
533,45,1,0.012592871007803264
534,44,3,0.14374167191636644
535,42,1,0.6432041380356852
536,69,1,0.18442808574434166
537,25,4,0.6196360267332532
538,26,4,0.1650963917107363
