profile_idx,age,region,risk_score
0,74,4,0.855302514932059
1,22,4,0.2614463614164766
2,28,0,0.9464657804460633
3,56,3,0.00263075362629972
4,70,4,0.9848034752375554
5,71,1,0.8136611230389795
6,74,0,0.4382800473034214
7,39,4,0.40873333268977363
8,73,2,0.11703988347506633
9,75,4,0.4978674083325122
10,37,1,0.7766861560008684
11,42,4,0.53834323407629
12,42,3,0.9927606888483627
13,58,0,0.5989776523667713
14,61,4,0.11733657384331686
15,61,1,0.5502283889833729
16,52,3,0.5527524153948293
17,33,2,0.0515388294743615
18,24,3,0.32070150992281876
19,23,0,0.9584683194126471
20,27,3,0.45578296007926533
21,47,3,0.4778900309019434
22,59,0,0.6045798880373442
23,61,3,0.7441468288332692
24,78,2,0.9284915198370209
25,66,4,0.8748696622696762
26,66,1,0.2677700742588114
27,77,2,0.6543102125920736
28,37,0,0.5594645356105491
29,62,2,0.0016647948525158052
30,60,2,0.3998988932189942
31,21,4,0.054514811423870047
32,64,4,0.9083194924222268
33,31,2,0.1872290474547189
34,28,3,0.16152169054797472
35,69,1,0.6664230870814164
36,31,2,0.4609252157924165
37,51,1,0.03723728048946706
38,22,1,0.8266223901229942
39,54,4,0.08106201414430547
40,57,2,0.35379305429085994
41,38,1,0.9878944722755058
42,23,4,0.506979159656347
43,18,2,0.9169820251078087
44,44,1,0.7819015932890875
45,77,3,0.7373428426158386
46,26,2,0.6853336152660934
47,47,4,0.2956929737894719
48,68,3,0.4820033348551256
49,20,2,0.4648226294716957
50,39,1,0.7522522616715118
51,47,1,0.18129726846890626
52,49,3,0.3996925907105383
53,46,2,0.9823398128646649
54,64,3,0.5243955743780132
55,20,1,0.7090405589928502
56,56,4,0.7083008830614438
57,49,3,0.3181710023770149
58,40,1,0.3576135166464367
59,74,2,0.8932667890944914
60,53,2,0.17641094137590407
61,77,2,0.25967925319138874
62,75,3,0.3386744104794799
63,78,4,0.4368996076759395
64,52,2,0.5846239831347064
65,29,2,0.9779562189859162
66,77,0,0.7436639122731936
67,71,1,0.06083575016988163
68,22,0,0.7509052690936603
69,42,4,0.7753926564869995
70,39,1,0.4965432547720038
71,74,0,0.41964226299439755
72,57,1,0.03161801427778976
73,79,1,0.9283868852397259
74,50,2,0.2738534779206814
75,21,0,0.8978159520635121
76,68,0,0.03830831744226193
77,30,0,0.752627300775268
78,64,4,0.09568781723043784
79,26,3,0.6520114409122275
80,38,2,0.003855378797995135
81,53,3,0.4301281416069842
82,66,4,0.99712065574137
83,36,3,0.11599595947452979
84,61,1,0.6297575886283645
85,55,4,0.42120603516896316
86,25,1,0.6066372567914184
87,50,4,0.19511318878204176
88,40,2,0.6160283262114216
89,79,2,0.36005894138796957
90,57,4,0.8164054408657649
91,33,0,0.0008170796731188368
92,64,1,0.42283366744604534
93,41,0,0.3378196028000717
94,70,3,0.739312479773845
95,20,4,0.814196468401186
96,40,1,0.5328025513162492
97,79,3,0.6122811943831451
98,54,2,0.812275134139126
99,78,4,0.8976365360569837
100,38,1,0.1198973410860541
101,57,1,0.8010266701843263
102,60,1,0.7434845099244799
103,52,2,0.9930811692917605
104,20,0,0.8284110446632765
105,59,0,0.6395408110558748
106,56,2,0.24480879039669656
107,30,1,0.38707101482505535
108,60,2,0.15773794074753011
109,42,2,0.0884202248111694
110,56,2,0.5397862133857477
111,36,1,0.4931130050688899
112,29,2,0.521383497740482
113,61,0,0.21983823233996114
114,26,1,0.9994829285865717
115,37,2,0.7072897178759088
116,57,1,0.5202088985388901
117,44,2,0.20246893446815994
118,32,1,0.24060774536439256
119,59,3,0.7440973447311324
120,29,4,0.3366232325883518
121,60,2,0.7264913790241713
122,24,2,0.860490644287888
123,74,0,0.6961994916034985
124,29,0,0.516052966358792
125,70,1,0.4522928069574713
126,37,3,0.09059594650318947
127,54,0,0.9378105830669068
128,20,2,0.4110560510084169
129,45,0,0.5030905033689127
130,40,3,0.894390464658812
131,23,1,0.12927940406855476
132,71,3,0.3046824021351616
133,64,3,0.801032940524003
134,40,4,0.17085516101339626
135,43,1,0.3878612239955531
136,74,4,0.4356323665801559
137,18,2,0.8387575563807282
138,35,0,0.10879300122536895
139,49,0,0.5099018785569993
140,22,1,0.3591414989534297
141,27,2,0.5293451237171175
142,62,1,0.13818454550717563
143,79,4,0.8658768009216458
144,76,2,0.28835130800621167
145,46,4,0.11939670276499514
146,27,4,0.6273339794390743
147,66,1,0.5910779258150205
148,29,2,0.009849092945594329
149,47,2,0.7750908596941178
150,52,3,0.12979822550022502
151,60,1,0.6951464286647532
152,55,0,0.6907970872297808
153,44,2,0.38449306451449705
154,38,2,0.4784893731503794
155,55,0,0.9272733663903746
156,29,2,0.6631108844204829
157,47,0,0.8790004011247999
158,45,3,0.2540211633818247
159,51,4,0.8780764498279212
160,20,2,0.2786112584556363
161,18,4,0.004497324121112478
162,18,4,0.9629385209462097
163,46,0,0.9429011284635345
164,61,1,0.8125748879837964
165,74,4,0.17818783153517614
166,26,1,0.9568445119253497
167,25,3,0.7021682624146792
168,78,1,0.7324255238721241
169,36,0,0.26406799570745865
