variant,seed,episode,return,steps,accept_rate,avg_premium,loss_paid_sum,min_capital,final_capital,bankrupt,time_to_ruin,ez_steps,ez_phases,ez_repeats,exploration_steps,exploration_rate
EZ,19,1,43750.80699577743,500,1.0,406.99520876312255,-157994.65363544648,50000.0,93750.80699577737,0,-1,16,4,12,0,0.0
EZ,19,2,128068.31768439176,500,0.992,397.04032899679675,-67068.45749097703,50000.0,178068.3176843919,0,-1,12,3,9,0,0.0
EZ,19,3,128295.05946364123,500,0.966,392.0836501950803,-59582.865083597084,50000.0,178295.0594636412,0,-1,44,11,33,0,0.0
EZ,19,4,104234.70910443184,500,0.974,398.9379948208709,-87451.90310229584,50000.0,154234.7091044317,0,-1,24,6,18,0,0.0
EZ,19,5,109241.8694018917,500,0.928,399.1284567970654,-74817.40743357937,50000.0,159241.86940189166,0,-1,24,6,18,0,0.0
EZ,19,6,117511.10290509494,500,0.964,399.0805062535393,-74625.91402619422,50000.0,167511.10290509506,0,-1,28,7,21,0,0.0
EZ,19,7,134609.25462568147,500,0.926,393.1386686576365,-44078.89223538663,50000.0,184609.25462568147,0,-1,40,10,30,0,0.0
EZ,19,8,109587.77738468102,500,0.968,394.920667926142,-72292.12585017874,50000.0,159587.77738468105,0,-1,48,12,36,0,0.0
EZ,19,9,128905.7809816246,500,0.992,393.05404028488744,-63557.47856961457,50000.0,178905.78098162462,0,-1,20,5,15,0,0.0
EZ,19,10,126248.92428397038,500,0.952,405.3529496453389,-63295.97433883734,50000.0,176248.9242839702,0,-1,32,8,24,0,0.0
EZ,19,11,120637.84335670173,500,0.954,401.4951858950361,-67091.2355661654,50000.0,170637.84335670163,0,-1,20,5,15,0,0.0
EZ,19,12,134986.54854477316,500,0.992,405.3129116489041,-64681.55355926337,50000.0,184986.5485447731,0,-1,36,9,27,0,0.0
EZ,19,13,130210.53988601477,500,0.992,402.2354925082576,-67786.59415093348,50000.0,180210.53988601483,0,-1,36,9,27,0,0.0
EZ,19,14,36104.62633212981,500,0.992,395.7379111791811,-157982.94588730205,38521.409930152906,86104.62633212982,0,-1,40,10,30,0,0.0
EZ,19,15,87761.7703000717,500,0.984,403.02521198842584,-110078.61582192754,50000.0,137761.77030007172,0,-1,36,9,27,0,0.0
EZ,19,16,133676.66818622992,500,1.0,404.21280823516844,-67308.99026218422,50000.0,183676.66818623012,0,-1,24,6,18,0,0.0
EZ,19,17,132446.25084962678,500,0.984,414.387002216122,-69189.9286366408,50000.0,182446.25084962684,0,-1,36,9,27,0,0.0
EZ,19,18,127530.11713912796,500,0.992,409.52017051462207,-73682.19553936801,50000.0,177530.11713912804,0,-1,20,5,15,0,0.0
EZ,19,19,117328.41922084095,500,0.976,401.4926319640191,-77285.70421270329,50000.0,167328.41922084102,0,-1,28,7,21,0,0.0
EZ,19,20,59917.70992995772,500,0.992,409.1032359542385,-142403.5432572392,50000.0,109917.70992995775,0,-1,20,5,15,0,0.0
EZ,19,21,132444.8424440909,500,0.98,404.90776485715594,-64047.61439454479,50000.0,182444.84244409093,0,-1,36,9,27,0,0.0
EZ,19,22,140138.77878914983,500,0.992,410.25968710645554,-61406.85317340469,50000.0,190138.77878914986,0,-1,32,8,24,0,0.0
EZ,19,23,143052.11293683603,500,0.976,404.2836171075946,-49522.66255509591,50000.0,193052.11293683614,0,-1,44,11,33,0,0.0
EZ,19,24,137616.6047131201,500,0.992,405.8274293657272,-62527.88571822225,50000.0,187616.60471312006,0,-1,16,4,12,0,0.0
EZ,19,25,129439.4993892543,500,0.992,411.0717833782396,-66567.2437778324,50000.0,179439.4993892544,0,-1,32,8,24,0,0.0
EZ,19,26,138575.4599173029,500,0.992,404.83629985490154,-59052.189831704854,50000.0,188575.45991730297,0,-1,24,6,18,0,0.0
EZ,19,27,137213.8355029572,500,0.992,407.398396780414,-63273.68514742548,50000.0,187213.83550295723,0,-1,28,7,21,0,0.0
EZ,19,28,112246.52936068476,500,1.0,391.87520736694336,-80908.61332202984,50000.0,162246.5293606847,0,-1,8,2,6,0,0.0
EZ,19,29,114659.91880189092,500,0.962,417.0378476101247,-84199.51494375606,50000.0,164659.91880189104,0,-1,44,11,33,0,0.0
EZ,19,30,131183.78863626212,500,1.0,397.43280867099764,-66681.2519658455,50000.0,181183.788636262,0,-1,20,5,15,0,0.0
EZ,19,31,131618.4811629761,500,0.992,402.0661374657385,-65598.31373634853,50000.0,181618.48116297607,0,-1,36,9,27,0,0.0
EZ,19,32,59651.620875574095,500,0.992,402.5483968334813,-138129.21524251765,50000.0,109651.62087557414,0,-1,24,6,18,0,0.0
EZ,19,33,130880.92305051802,500,0.992,404.6064617114682,-68467.61759884853,50000.0,180880.92305051806,0,-1,12,3,9,0,0.0
EZ,19,34,121733.64535230097,500,1.0,402.9656096868515,-77039.06578826022,50000.0,171733.6453523009,0,-1,16,4,12,0,0.0
EZ,19,35,130332.34704085012,500,0.984,421.5471658076697,-75629.27880373604,50000.0,180332.34704085017,0,-1,12,3,9,0,0.0
EZ,19,36,114009.2202664346,500,0.992,406.68549307123305,-87214.3901332334,50000.0,164009.22026643468,0,-1,36,9,27,0,0.0
EZ,19,37,146595.79333906743,500,0.984,405.6317174095448,-52487.889844575366,50000.0,196595.79333906752,0,-1,28,7,21,0,0.0
EZ,19,38,140437.3967518916,500,1.0,411.76881017017365,-64990.01063684776,50000.0,190437.3967518916,0,-1,4,1,3,0,0.0
EZ,19,39,118250.35290893722,500,0.986,406.75538561358655,-81258.4092242381,50000.0,168250.35290893726,0,-1,24,6,18,0,0.0
EZ,19,40,127175.73784976244,500,0.968,421.3289369551604,-71085.70776432725,50000.0,177175.73784976243,0,-1,48,12,36,0,0.0
EZ,19,41,129676.14558417187,500,0.984,399.96992880057513,-66262.39467825554,50000.0,179676.14558417193,0,-1,36,9,27,0,0.0
EZ,19,42,110854.77228012386,500,0.964,391.3352767392313,-75420.05891675966,50000.0,160854.77228012367,0,-1,28,7,21,0,0.0
EZ,19,43,127003.44629247878,500,0.97,405.83506025235675,-66807.01230747593,50000.0,177003.44629247877,0,-1,36,9,27,0,0.0
EZ,19,44,145075.67325050366,500,1.0,402.261609000206,-53531.91152459305,50000.0,195075.67325050375,0,-1,20,5,15,0,0.0
EZ,19,45,146441.4494938099,500,0.992,407.53629999295356,-54129.18323837518,50000.0,196441.4494938099,0,-1,8,2,6,0,0.0
EZ,19,46,121253.46096017021,500,0.984,405.9406592351634,-78092.24630362965,50000.0,171253.46096017014,0,-1,12,3,9,0,0.0
EZ,19,47,141582.74477044545,500,1.0,404.8536091928482,-58819.58045035063,50000.0,191582.74477044545,0,-1,12,3,9,0,0.0
EZ,19,48,125781.2809688996,500,1.0,400.20240782642367,-72416.73587466954,50000.0,175781.28096889946,0,-1,28,7,21,0,0.0
EZ,19,49,142957.9465911509,500,0.992,403.73307277214144,-56259.10977425565,50000.0,192957.94659115086,0,-1,20,5,15,0,0.0
EZ,19,50,68113.19987149407,500,0.962,406.2187211498649,-125724.74727442792,27777.57776192581,118113.19987149407,0,-1,20,5,15,0,0.0
EZ,19,51,117140.51121647173,500,0.984,410.1292786433445,-84000.6731807507,50000.0,167140.51121647184,0,-1,36,9,27,0,0.0
EZ,19,52,106668.97619184041,500,1.0,404.73520927524567,-92685.99602229123,50000.0,156668.97619184034,0,-1,12,3,9,0,0.0
EZ,19,53,149261.6819793315,500,0.998,403.0380848290208,-50687.787549348905,50000.0,199261.6819793315,0,-1,16,4,12,0,0.0
EZ,19,54,132595.91489975923,500,0.984,398.13334137443604,-61308.58599749807,50000.0,182595.91489975917,0,-1,20,5,15,0,0.0
EZ,19,55,118934.9614883878,500,0.992,402.3830735827646,-76278.1875313221,50000.0,168934.96148838772,0,-1,32,8,24,0,0.0
EZ,19,56,131515.70982143754,500,0.992,402.3524281988221,-67440.28339464757,50000.0,181515.70982143763,0,-1,8,2,6,0,0.0
EZ,19,57,119073.12387034428,500,0.954,399.21007098791733,-70329.23163596216,50000.0,169073.1238703442,0,-1,32,8,24,0,0.0
EZ,19,58,135621.56002931725,500,1.0,402.9408081626892,-65034.10130958076,50000.0,185621.56002931725,0,-1,28,7,21,0,0.0
EZ,19,59,97106.7455462811,500,0.992,398.8242005725061,-99895.12646013273,50000.0,147106.74554628108,0,-1,40,10,30,0,0.0
EZ,19,60,84319.08313226175,500,0.97,407.15629925777,-110435.93340828498,11061.603683258643,134319.0831322617,0,-1,36,9,27,0,0.0
EZ,19,61,135802.58149464687,500,0.966,400.3047705841854,-56371.39661821902,50000.0,185802.58149464696,0,-1,44,11,33,0,0.0
EZ,19,62,128520.86007637702,500,1.0,400.81520861148834,-67545.93891230015,50000.0,178520.86007637694,0,-1,20,5,15,0,0.0
EZ,19,63,126537.4064703529,500,0.958,414.2772554455321,-70645.4586971562,50000.0,176537.40647035275,0,-1,16,4,12,0,0.0
EZ,19,64,97968.30954115912,500,0.984,403.9024478768915,-95816.75374092167,50000.0,147968.30954115905,0,-1,12,3,9,0,0.0
EZ,19,65,145885.06093164458,500,0.992,409.3524290159825,-55359.66981828672,50000.0,195885.06093164452,0,-1,32,8,24,0,0.0
EZ,19,66,-437654.18314817245,48,1.0,409.20834361513454,-157296.1836416989,-87654.18314817245,-87654.18314817245,1,47,0,0,0,0,0.0
EZ,19,67,136462.69962548296,500,0.992,404.55726688811853,-62913.88816118257,50000.0,186462.69962548304,0,-1,28,7,21,0,0.0
EZ,19,68,134468.67832112464,500,0.98,402.93796892652705,-62118.89871620271,50000.0,184468.67832112467,0,-1,28,7,21,0,0.0
EZ,19,69,126340.35401914327,500,0.974,409.782349833228,-71730.70246350061,50000.0,176340.35401914324,0,-1,24,6,18,0,0.0
EZ,19,70,126007.50184789905,500,0.992,407.80081700413456,-73222.94453587079,50000.0,176007.50184789917,0,-1,16,4,12,0,0.0
EZ,19,71,129483.2178637737,500,1.0,398.90160757160186,-68525.2283153923,50000.0,179483.2178637736,0,-1,48,12,36,0,0.0
EZ,19,72,144233.35704231577,500,0.992,406.4443638122851,-54401.522669088175,50000.0,194233.35704231594,0,-1,28,7,21,0,0.0
EZ,19,73,152576.94530480125,500,1.0,413.1616098651886,-51846.341112763876,50000.0,202576.94530480145,0,-1,12,3,9,0,0.0
EZ,19,74,144230.26873914944,500,0.984,409.06830295120795,-55825.897927624486,50000.0,194230.26873914947,0,-1,28,7,21,0,0.0
EZ,19,75,101569.95724859116,500,0.984,409.70244861424453,-96766.0717645126,50000.0,151569.95724859112,0,-1,28,7,21,0,0.0
EZ,19,76,102448.90912150944,500,0.968,407.3603397992032,-93483.92461130167,50000.0,152448.9091215094,0,-1,28,7,21,0,0.0
EZ,19,77,121249.8682408088,500,0.99,391.44000674257376,-71015.15452742201,50000.0,171249.86824080875,0,-1,32,8,24,0,0.0
EZ,19,78,120780.15911601335,500,0.976,400.9868937418109,-68069.31181559767,50000.0,170780.15911601347,0,-1,32,8,24,0,0.0
EZ,19,79,133170.64505580324,500,1.0,395.98880726242066,-61568.19586987228,50000.0,183170.64505580327,0,-1,24,6,18,0,0.0
EZ,19,80,-498811.5363508654,209,1.0,398.83062981646594,-282167.13798250677,-148811.53635086535,-148811.53635086535,1,208,12,3,9,0,0.0
EZ,19,81,122844.83792257057,500,0.99,402.81293776637375,-73478.73404270016,50000.0,172844.83792257053,0,-1,16,4,12,0,0.0
EZ,19,82,133134.84575887857,500,0.992,409.4379127842765,-65669.31459311854,50000.0,183134.8457588785,0,-1,20,5,15,0,0.0
EZ,19,83,27791.815541966087,500,0.992,405.1717831194401,-171917.62605447954,14778.017583613851,77791.8155419661,0,-1,28,7,21,0,0.0
EZ,19,84,96649.36842974428,500,0.982,393.0256687337172,-94883.03603095579,50000.0,146649.36842974447,0,-1,36,9,27,0,0.0
EZ,19,85,99875.08759775199,500,0.992,400.9806547434099,-96520.73133848757,50000.0,149875.08759775184,0,-1,24,6,18,0,0.0
EZ,19,86,123016.74543131329,500,0.992,394.70887916991785,-71246.49197715157,50000.0,173016.74543131323,0,-1,12,3,9,0,0.0
EZ,19,87,104247.07334681806,500,1.0,395.48800741958615,-93034.61472729842,50000.0,154247.07334681816,0,-1,12,3,9,0,0.0
EZ,19,88,79361.25603199631,500,0.984,405.85122860059505,-116614.72960863613,50000.0,129361.25603199625,0,-1,32,8,24,0,0.0
EZ,19,89,129856.42009732948,500,0.992,393.2338791547283,-64080.89884079497,50000.0,179856.42009732954,0,-1,32,8,24,0,0.0
EZ,19,90,137323.432108419,500,0.992,397.0725880399827,-58499.03814356391,50000.0,187323.43210841893,0,-1,20,5,15,0,0.0
EZ,19,91,133962.36830774767,500,1.0,404.05200893878936,-64116.62308620545,50000.0,183962.36830774773,0,-1,12,3,9,0,0.0
