variant,seed,episode,return,steps,accept_rate,avg_premium,loss_paid_sum,min_capital,final_capital,bankrupt,time_to_ruin,ez_steps,ez_phases,ez_repeats,exploration_steps,exploration_rate
Fixed,12,1,124784.78858963448,500,0.988,373.56680502196554,-59274.60240074638,50000.0,174784.7885896344,0,-1,0,0,0,24,0.048
Fixed,12,2,137540.5235286256,500,0.982,390.46843734632444,-52545.471217974,50000.0,187540.52352862564,0,-1,0,0,0,21,0.042
Fixed,12,3,104944.10252584383,500,0.97,373.6560856750331,-75001.67363936188,50000.0,154944.10252584392,0,-1,0,0,0,24,0.048
Fixed,12,4,130131.97143296224,500,0.99,382.88727776402175,-58249.696880328374,50000.0,180131.97143296234,0,-1,0,0,0,24,0.048
Fixed,12,5,118996.51851643338,500,0.984,391.98537109537824,-72324.07007953023,50000.0,168996.5185164334,0,-1,0,0,0,27,0.054
Fixed,12,6,138504.92592890712,500,0.994,386.98914092887094,-52803.87944116436,50000.0,188504.92592890706,0,-1,0,0,0,29,0.058
Fixed,12,7,138793.3384583723,500,0.992,389.69919978707065,-53079.53518458456,50000.0,188793.33845837243,0,-1,0,0,0,24,0.048
Fixed,12,8,122136.52082556605,500,0.982,387.2798432196716,-66649.53751480438,50000.0,172136.52082556623,0,-1,0,0,0,31,0.062
Fixed,12,9,133510.86592788337,500,0.986,393.9910816440234,-59536.82267622533,50000.0,183510.86592788345,0,-1,0,0,0,25,0.05
Fixed,12,10,130612.12084870899,500,0.996,388.14378158825946,-61134.89867365725,50000.0,180612.12084870905,0,-1,0,0,0,22,0.044
Fixed,12,11,125827.65505568235,500,0.996,397.92530935260663,-70132.47715623507,50000.0,175827.65505568223,0,-1,0,0,0,33,0.066
Fixed,12,12,144825.02660511603,500,0.988,399.1870522981713,-50865.83605472679,50000.0,194825.02660511615,0,-1,0,0,0,24,0.048
Fixed,12,13,119463.550067237,500,0.998,400.2501081569878,-79722.57525120636,50000.0,169463.5500672372,0,-1,0,0,0,18,0.036
Fixed,12,14,139963.75813420478,500,0.984,398.7203335703873,-54370.73208573496,50000.0,189963.7581342047,0,-1,0,0,0,23,0.046
Fixed,12,15,128898.73465534311,500,0.982,392.8415549476375,-61237.72151675681,50000.0,178898.73465534297,0,-1,0,0,0,31,0.062
Fixed,12,16,135815.57416203528,500,0.994,393.81972608527906,-57493.744807617535,50000.0,185815.57416203528,0,-1,0,0,0,21,0.042
